standby,26.3265
following,33.8812
speedcontrol,33.8977
error,24
hold,24.4985
standby,23
following,23.9893
speedcontrol,23.9906
error,22
hold,23.9911
override,22
standby,23
following,23.9893
speedcontrol,23.9906
error,22
hold,23.9911
override,22
error,22
hold,24.9522
override,22
error,22
hold,24.9522
override,22
error,22
hold,24.9522
override,22
error,22
hold,24.9522
override,22
error,22
hold,25.0272
override,22
error,22
hold,24.9486
override,22
error,22
hold,23.9988
override,22
standby,24.9774
following,33.8647
speedcontrol,33.9153
error,22
hold,24.9744
