scen 1,24.4985
scen 2,24.5155
scen 4,24.534
scen 5,24.488
scen 8,24.496
scen 0,3.9911
scen 1,23.9911
scen 2,23.0109
scen 3,3.9911
scen 4,23.9911
scen 5,23.9895
scen 6,23.0095
scen 7,23.9895
scen 0,3.9911
scen 1,23.9911
scen 2,23.0109
scen 3,3.9911
scen 4,23.9911
scen 5,23.9895
scen 6,23.0095
scen 7,23.9895
scen 0,13.9904
scen 1,24.9522
scen 2,23.973
scen 3,13.9887
scen 5,24.9228
scen 6,24.0186
scen 0,13.9904
scen 1,24.9522
scen 2,23.973
scen 3,13.9887
scen 5,24.9228
scen 6,24.0186
scen 0,13.9904
scen 1,24.9522
scen 2,23.973
scen 3,13.9887
scen 5,24.9228
scen 6,24.0186
scen 0,13.9904
scen 1,24.9522
scen 2,23.973
scen 3,13.9887
scen 5,24.9228
scen 6,24.0186
scen 0,13.989
scen 1,25.0272
scen 2,24.0186
scen 3,24.9822
scen 0,12.6581
scen 1,24.9486
scen 2,24.0048
scen 3,24.9654
scen 0,12.6648
scen 1,23.9988
scen 2,24.018
scen 3,24.9936
scen 0,12.6624
scen 1,24.9744
scen 2,24.0096
scen 3,24.9564
scen 4,24.984
scen 5,24.9462
scen 6,24.9546
scen 7,25.0098
