following,speedcontrol,standby
following,speedcontrol,following
following,speedcontrol,override
following,speedcontrol,hold
following,standby,speedcontrol
following,following,speedcontrol
following,override,speedcontrol
following,hold,speedcontrol
following,following,error
following,speedcontrol,error
following,hold,error
speedcontrol,following,speedcontrol
speedcontrol,following,standby
speedcontrol,speedcontrol,following
speedcontrol,override,following 
speedcontrol,following,error
speedcontrol,standby,following 
speedcontrol,speedcontrol,error
override,following,error
override,speedcontrol,error
standby,speedcontrol,following
standby,following,speedcontrol
override,speedcontrol,following
override,following,speedcontrol
hold,hold,error
hold,speedcontrol,hold
hold,hold,speedcontrol
hold,following,standby
hold,standby,following
hold,following,off
hold,off,following
hold,override,following
hold,hold,standby
hold,following,error
hold,hold,off
hold,speedcontrol,standby
hold,standby,speedcontrol
hold,off,speedcontrol
hold,speedcontrol,off
hold,speedcontrol,following
hold,following,speedcontrol
hold,speedcontrol,override
hold,override,speedcontrol
hold,speedcontrol,error
following,following,error
following,following,speedcontrol
following,speedcontrol,following
speedcontrol,speedcontrol,following
speedcontrol,following,speedcontrol
speedcontrol,speedcontrol,error
hold,hold,standby
hold,speedcontrol,hold
hold,hold,off
hold,hold,speedcontrol
hold,hold,error
